Datum;Anfang;Ende;Generation_DE GKM Block 9 [MW] Berechnete Auflösungen
06.02.2024;00:00;00:15;34
06.02.2024;00:15;00:30;34
06.02.2024;00:30;00:45;34
06.02.2024;00:45;01:00;34
06.02.2024;01:00;01:15;18
06.02.2024;01:15;01:30;18
06.02.2024;01:30;01:45;18
06.02.2024;01:45;02:00;18
06.02.2024;02:00;02:15;10,25
06.02.2024;02:15;02:30;10,25
06.02.2024;02:30;02:45;10,25
06.02.2024;02:45;03:00;10,25
06.02.2024;03:00;03:15;8
06.02.2024;03:15;03:30;8
06.02.2024;03:30;03:45;8
06.02.2024;03:45;04:00;8
06.02.2024;04:00;04:15;9
06.02.2024;04:15;04:30;9
06.02.2024;04:30;04:45;9
06.02.2024;04:45;05:00;9
06.02.2024;05:00;05:15;10,5
06.02.2024;05:15;05:30;10,5
06.02.2024;05:30;05:45;10,5
06.02.2024;05:45;06:00;10,5
06.02.2024;06:00;06:15;23,25
06.02.2024;06:15;06:30;23,25
06.02.2024;06:30;06:45;23,25
06.02.2024;06:45;07:00;23,25
06.02.2024;07:00;07:15;36,75
06.02.2024;07:15;07:30;36,75
06.02.2024;07:30;07:45;36,75
06.02.2024;07:45;08:00;36,75
06.02.2024;08:00;08:15;38,25
06.02.2024;08:15;08:30;38,25
06.02.2024;08:30;08:45;38,25
06.02.2024;08:45;09:00;38,25
06.02.2024;09:00;09:15;36
06.02.2024;09:15;09:30;36
06.02.2024;09:30;09:45;36
06.02.2024;09:45;10:00;36
06.02.2024;10:00;10:15;30
06.02.2024;10:15;10:30;30
06.02.2024;10:30;10:45;30
06.02.2024;10:45;11:00;30
06.02.2024;11:00;11:15;25,5
06.02.2024;11:15;11:30;25,5
06.02.2024;11:30;11:45;25,5
06.02.2024;11:45;12:00;25,5
06.02.2024;12:00;12:15;32,75
06.02.2024;12:15;12:30;32,75
06.02.2024;12:30;12:45;32,75
06.02.2024;12:45;13:00;32,75
06.02.2024;13:00;13:15;33,75
06.02.2024;13:15;13:30;33,75
06.02.2024;13:30;13:45;33,75
06.02.2024;13:45;14:00;33,75
06.02.2024;14:00;14:15;33,25
06.02.2024;14:15;14:30;33,25
06.02.2024;14:30;14:45;33,25
06.02.2024;14:45;15:00;33,25
06.02.2024;15:00;15:15;34,25
06.02.2024;15:15;15:30;34,25
06.02.2024;15:30;15:45;34,25
06.02.2024;15:45;16:00;34,25
06.02.2024;16:00;16:15;34,25
06.02.2024;16:15;16:30;34,25
06.02.2024;16:30;16:45;34,25
06.02.2024;16:45;17:00;34,25
06.02.2024;17:00;17:15;34,5
06.02.2024;17:15;17:30;34,5
06.02.2024;17:30;17:45;34,5
06.02.2024;17:45;18:00;34,5
06.02.2024;18:00;18:15;37,25
06.02.2024;18:15;18:30;37,25
06.02.2024;18:30;18:45;37,25
06.02.2024;18:45;19:00;37,25
06.02.2024;19:00;19:15;36,5
06.02.2024;19:15;19:30;36,5
06.02.2024;19:30;19:45;36,5
06.02.2024;19:45;20:00;36,5
06.02.2024;20:00;20:15;35,25
06.02.2024;20:15;20:30;35,25
06.02.2024;20:30;20:45;35,25
06.02.2024;20:45;21:00;35,25
06.02.2024;21:00;21:15;33,5
06.02.2024;21:15;21:30;33,5
06.02.2024;21:30;21:45;33,5
06.02.2024;21:45;22:00;33,5
06.02.2024;22:00;22:15;32,5
06.02.2024;22:15;22:30;32,5
06.02.2024;22:30;22:45;32,5
06.02.2024;22:45;23:00;32,5
06.02.2024;23:00;23:15;30,75
06.02.2024;23:15;23:30;30,75
06.02.2024;23:30;23:45;30,75
06.02.2024;23:45;00:00;30,75
07.02.2024;00:00;00:15;-
07.02.2024;00:15;00:30;-
07.02.2024;00:30;00:45;-
07.02.2024;00:45;01:00;-
07.02.2024;01:00;01:15;22
07.02.2024;01:15;01:30;22
07.02.2024;01:30;01:45;22
07.02.2024;01:45;02:00;22
07.02.2024;02:00;02:15;25,25
07.02.2024;02:15;02:30;25,25
07.02.2024;02:30;02:45;25,25
07.02.2024;02:45;03:00;25,25
07.02.2024;03:00;03:15;26,25
07.02.2024;03:15;03:30;26,25
07.02.2024;03:30;03:45;26,25
07.02.2024;03:45;04:00;26,25
07.02.2024;04:00;04:15;25
07.02.2024;04:15;04:30;25
07.02.2024;04:30;04:45;25
07.02.2024;04:45;05:00;25
07.02.2024;05:00;05:15;47
07.02.2024;05:15;05:30;47
07.02.2024;05:30;05:45;47
07.02.2024;05:45;06:00;47
07.02.2024;06:00;06:15;72,25
07.02.2024;06:15;06:30;72,25
07.02.2024;06:30;06:45;72,25
07.02.2024;06:45;07:00;72,25
07.02.2024;07:00;07:15;76
07.02.2024;07:15;07:30;76
07.02.2024;07:30;07:45;76
07.02.2024;07:45;08:00;76
07.02.2024;08:00;08:15;76,5
07.02.2024;08:15;08:30;76,5
07.02.2024;08:30;08:45;76,5
07.02.2024;08:45;09:00;76,5
07.02.2024;09:00;09:15;73
